ID,Hair_Type_Code,Hair_Type_Description,Hair_Porosity,Scalp_Type,Common_Issue,Likely_Cause,Symptoms,Recommended_Solution,Suggested_Treatment,Treatment_Frequency,Severity_Level
812,3A,"Curly - Loose, springy curls",Medium Porosity,Normal Scalp,Oily Scalp,"Overactive sebaceous glands, hormonal changes, or infrequent washing","Greasy roots, flat-looking hair, scalp odor",Use a clarifying shampoo with tea tree oil or salicylic acid; avoid heavy conditioners near the roots. Porosity-specific tip: Balanced routine works well; maintain regular deep conditioning every 1-2 weeks to preserve moisture-protein balance.,Clarifying shampoo,Every 2-3 days,Mild-Moderate
813,3A,"Curly - Loose, springy curls",Medium Porosity,Normal Scalp,Hair Breakage,"Excess heat styling, chemical treatments, over-brushing, or protein/moisture imbalance","Short broken strands, rough texture, visible split hairs","Reduce heat styling, use a protein-moisture balanced deep conditioner, trim damaged ends. Porosity-specific tip: Balanced routine works well; maintain regular deep conditioning every 1-2 weeks to preserve moisture-protein balance.",Protein treatment + deep conditioning mask,Weekly,Moderate
814,3A,"Curly - Loose, springy curls",Medium Porosity,Normal Scalp,Split Ends,"Mechanical damage, lack of trimming, friction from towels/pillowcases","Frayed, forked hair tips that look dry and dull",Regular trims every 8-10 weeks and use leave-in conditioner or hair oil to seal ends. Porosity-specific tip: Balanced routine works well; maintain regular deep conditioning every 1-2 weeks to preserve moisture-protein balance.,Leave-in conditioner + regular trims,"Bi-weekly application, trims every 2 months",Mild
815,3A,"Curly - Loose, springy curls",Medium Porosity,Normal Scalp,Hair Thinning,"Genetics, stress, nutritional deficiency, hormonal imbalance, or postpartum changes","Reduced hair density, visible scalp, thinner ponytail","Use minoxidil-based topical treatment, biotin/iron supplementation (consult a doctor), and gentle scalp massage. Porosity-specific tip: Balanced routine works well; maintain regular deep conditioning every 1-2 weeks to preserve moisture-protein balance.",Minoxidil topical + supplements,Daily application,Moderate-Severe
816,3A,"Curly - Loose, springy curls",Medium Porosity,Normal Scalp,Itchy/Irritated Scalp,"Allergic reaction to products, dry skin, dandruff, or scalp psoriasis/eczema","Persistent itching, redness, occasional burning sensation","Switch to fragrance-free, sulfate-free shampoo; use a soothing scalp serum with aloe vera or tea tree oil. Porosity-specific tip: Balanced routine works well; maintain regular deep conditioning every 1-2 weeks to preserve moisture-protein balance.",Soothing scalp serum,"Daily until resolved, then 2x/week",Mild-Moderate
817,3A,"Curly - Loose, springy curls",Medium Porosity,Normal Scalp,Product Buildup,"Accumulation of styling products, hard water minerals, or infrequent clarifying washes","Dull, weighed-down hair, reduced curl definition, waxy scalp feel",Use a clarifying or chelating shampoo once every 1-2 weeks to remove residue. Porosity-specific tip: Balanced routine works well; maintain regular deep conditioning every 1-2 weeks to preserve moisture-protein balance.,Clarifying/chelating shampoo,Every 1-2 weeks,Mild
818,3A,"Curly - Loose, springy curls",Medium Porosity,Combination Scalp,Dandruff,"Malassezia fungus overgrowth, dry skin, or sensitivity to hair products","White/yellow flakes on scalp and shoulders, mild itching","Use an anti-dandruff shampoo containing zinc pyrithione, ketoconazole, or selenium sulfide; avoid over-washing. Porosity-specific tip: Balanced routine works well; maintain regular deep conditioning every 1-2 weeks to preserve moisture-protein balance.",Medicated anti-dandruff shampoo,2-3 times per week,Mild-Moderate
819,3A,"Curly - Loose, springy curls",Medium Porosity,Combination Scalp,Dry Scalp,"Low sebum production, cold/dry weather, harsh shampoos, or dehydration","Tight, flaky, itchy scalp without excess oil","Apply a hydrating scalp oil (jojoba, argan) and switch to a sulfate-free moisturizing shampoo. Porosity-specific tip: Balanced routine works well; maintain regular deep conditioning every 1-2 weeks to preserve moisture-protein balance.",Scalp oil massage + hydrating shampoo,2 times per week,Mild
820,3A,"Curly - Loose, springy curls",Medium Porosity,Combination Scalp,Oily Scalp,"Overactive sebaceous glands, hormonal changes, or infrequent washing","Greasy roots, flat-looking hair, scalp odor",Use a clarifying shampoo with tea tree oil or salicylic acid; avoid heavy conditioners near the roots. Porosity-specific tip: Balanced routine works well; maintain regular deep conditioning every 1-2 weeks to preserve moisture-protein balance.,Clarifying shampoo,Every 2-3 days,Mild-Moderate
821,3A,"Curly - Loose, springy curls",Medium Porosity,Combination Scalp,Hair Breakage,"Excess heat styling, chemical treatments, over-brushing, or protein/moisture imbalance","Short broken strands, rough texture, visible split hairs","Reduce heat styling, use a protein-moisture balanced deep conditioner, trim damaged ends. Porosity-specific tip: Balanced routine works well; maintain regular deep conditioning every 1-2 weeks to preserve moisture-protein balance.",Protein treatment + deep conditioning mask,Weekly,Moderate
822,3A,"Curly - Loose, springy curls",Medium Porosity,Combination Scalp,Split Ends,"Mechanical damage, lack of trimming, friction from towels/pillowcases","Frayed, forked hair tips that look dry and dull",Regular trims every 8-10 weeks and use leave-in conditioner or hair oil to seal ends. Porosity-specific tip: Balanced routine works well; maintain regular deep conditioning every 1-2 weeks to preserve moisture-protein balance.,Leave-in conditioner + regular trims,"Bi-weekly application, trims every 2 months",Mild
823,3A,"Curly - Loose, springy curls",Medium Porosity,Combination Scalp,Frizz,"Humidity, lack of moisture, raised hair cuticle, or over-washing","Flyaway strands, rough and unmanageable texture","Use anti-frizz serum, microfiber towel drying, and leave-in cream with humectants like glycerin. Porosity-specific tip: Balanced routine works well; maintain regular deep conditioning every 1-2 weeks to preserve moisture-protein balance.",Anti-frizz serum/cream,Daily as needed,Mild
824,3A,"Curly - Loose, springy curls",Medium Porosity,Combination Scalp,Hair Thinning,"Genetics, stress, nutritional deficiency, hormonal imbalance, or postpartum changes","Reduced hair density, visible scalp, thinner ponytail","Use minoxidil-based topical treatment, biotin/iron supplementation (consult a doctor), and gentle scalp massage. Porosity-specific tip: Balanced routine works well; maintain regular deep conditioning every 1-2 weeks to preserve moisture-protein balance.",Minoxidil topical + supplements,Daily application,Moderate-Severe
825,3A,"Curly - Loose, springy curls",Medium Porosity,Combination Scalp,Itchy/Irritated Scalp,"Allergic reaction to products, dry skin, dandruff, or scalp psoriasis/eczema","Persistent itching, redness, occasional burning sensation","Switch to fragrance-free, sulfate-free shampoo; use a soothing scalp serum with aloe vera or tea tree oil. Porosity-specific tip: Balanced routine works well; maintain regular deep conditioning every 1-2 weeks to preserve moisture-protein balance.",Soothing scalp serum,"Daily until resolved, then 2x/week",Mild-Moderate
826,3A,"Curly - Loose, springy curls",Medium Porosity,Combination Scalp,Product Buildup,"Accumulation of styling products, hard water minerals, or infrequent clarifying washes","Dull, weighed-down hair, reduced curl definition, waxy scalp feel",Use a clarifying or chelating shampoo once every 1-2 weeks to remove residue. Porosity-specific tip: Balanced routine works well; maintain regular deep conditioning every 1-2 weeks to preserve moisture-protein balance.,Clarifying/chelating shampoo,Every 1-2 weeks,Mild
827,3A,"Curly - Loose, springy curls",Medium Porosity,Sensitive Scalp,Dandruff,"Malassezia fungus overgrowth, dry skin, or sensitivity to hair products","White/yellow flakes on scalp and shoulders, mild itching","Use an anti-dandruff shampoo containing zinc pyrithione, ketoconazole, or selenium sulfide; avoid over-washing. Porosity-specific tip: Balanced routine works well; maintain regular deep conditioning every 1-2 weeks to preserve moisture-protein balance.",Medicated anti-dandruff shampoo,2-3 times per week,Mild-Moderate
828,3A,"Curly - Loose, springy curls",Medium Porosity,Sensitive Scalp,Dry Scalp,"Low sebum production, cold/dry weather, harsh shampoos, or dehydration","Tight, flaky, itchy scalp without excess oil","Apply a hydrating scalp oil (jojoba, argan) and switch to a sulfate-free moisturizing shampoo. Porosity-specific tip: Balanced routine works well; maintain regular deep conditioning every 1-2 weeks to preserve moisture-protein balance.",Scalp oil massage + hydrating shampoo,2 times per week,Mild
829,3A,"Curly - Loose, springy curls",Medium Porosity,Sensitive Scalp,Oily Scalp,"Overactive sebaceous glands, hormonal changes, or infrequent washing","Greasy roots, flat-looking hair, scalp odor",Use a clarifying shampoo with tea tree oil or salicylic acid; avoid heavy conditioners near the roots. Porosity-specific tip: Balanced routine works well; maintain regular deep conditioning every 1-2 weeks to preserve moisture-protein balance.,Clarifying shampoo,Every 2-3 days,Mild-Moderate
830,3A,"Curly - Loose, springy curls",Medium Porosity,Sensitive Scalp,Hair Breakage,"Excess heat styling, chemical treatments, over-brushing, or protein/moisture imbalance","Short broken strands, rough texture, visible split hairs","Reduce heat styling, use a protein-moisture balanced deep conditioner, trim damaged ends. Porosity-specific tip: Balanced routine works well; maintain regular deep conditioning every 1-2 weeks to preserve moisture-protein balance.",Protein treatment + deep conditioning mask,Weekly,Moderate
831,3A,"Curly - Loose, springy curls",Medium Porosity,Sensitive Scalp,Split Ends,"Mechanical damage, lack of trimming, friction from towels/pillowcases","Frayed, forked hair tips that look dry and dull",Regular trims every 8-10 weeks and use leave-in conditioner or hair oil to seal ends. Porosity-specific tip: Balanced routine works well; maintain regular deep conditioning every 1-2 weeks to preserve moisture-protein balance.,Leave-in conditioner + regular trims,"Bi-weekly application, trims every 2 months",Mild
832,3A,"Curly - Loose, springy curls",Medium Porosity,Sensitive Scalp,Frizz,"Humidity, lack of moisture, raised hair cuticle, or over-washing","Flyaway strands, rough and unmanageable texture","Use anti-frizz serum, microfiber towel drying, and leave-in cream with humectants like glycerin. Porosity-specific tip: Balanced routine works well; maintain regular deep conditioning every 1-2 weeks to preserve moisture-protein balance.",Anti-frizz serum/cream,Daily as needed,Mild
833,3A,"Curly - Loose, springy curls",Medium Porosity,Sensitive Scalp,Itchy/Irritated Scalp,"Allergic reaction to products, dry skin, dandruff, or scalp psoriasis/eczema","Persistent itching, redness, occasional burning sensation","Switch to fragrance-free, sulfate-free shampoo; use a soothing scalp serum with aloe vera or tea tree oil. Porosity-specific tip: Balanced routine works well; maintain regular deep conditioning every 1-2 weeks to preserve moisture-protein balance.",Soothing scalp serum,"Daily until resolved, then 2x/week",Mild-Moderate
834,3A,"Curly - Loose, springy curls",Medium Porosity,Sensitive Scalp,Product Buildup,"Accumulation of styling products, hard water minerals, or infrequent clarifying washes","Dull, weighed-down hair, reduced curl definition, waxy scalp feel",Use a clarifying or chelating shampoo once every 1-2 weeks to remove residue. Porosity-specific tip: Balanced routine works well; maintain regular deep conditioning every 1-2 weeks to preserve moisture-protein balance.,Clarifying/chelating shampoo,Every 1-2 weeks,Mild
835,3A,"Curly - Loose, springy curls",High Porosity,Oily Scalp,Dandruff,"Malassezia fungus overgrowth, dry skin, or sensitivity to hair products","White/yellow flakes on scalp and shoulders, mild itching","Use an anti-dandruff shampoo containing zinc pyrithione, ketoconazole, or selenium sulfide; avoid over-washing. Porosity-specific tip: Use rich creams, butters, and oils to seal the cuticle; do a protein treatment periodically since high porosity hair loses moisture quickly.",Medicated anti-dandruff shampoo,2-3 times per week,Mild-Moderate
836,3A,"Curly - Loose, springy curls",High Porosity,Oily Scalp,Dry Scalp,"Low sebum production, cold/dry weather, harsh shampoos, or dehydration","Tight, flaky, itchy scalp without excess oil","Apply a hydrating scalp oil (jojoba, argan) and switch to a sulfate-free moisturizing shampoo. Porosity-specific tip: Use rich creams, butters, and oils to seal the cuticle; do a protein treatment periodically since high porosity hair loses moisture quickly.",Scalp oil massage + hydrating shampoo,2 times per week,Mild
837,3A,"Curly - Loose, springy curls",High Porosity,Oily Scalp,Oily Scalp,"Overactive sebaceous glands, hormonal changes, or infrequent washing","Greasy roots, flat-looking hair, scalp odor","Use a clarifying shampoo with tea tree oil or salicylic acid; avoid heavy conditioners near the roots. Porosity-specific tip: Use rich creams, butters, and oils to seal the cuticle; do a protein treatment periodically since high porosity hair loses moisture quickly.",Clarifying shampoo,Every 2-3 days,Mild-Moderate
838,3A,"Curly - Loose, springy curls",High Porosity,Oily Scalp,Hair Breakage,"Excess heat styling, chemical treatments, over-brushing, or protein/moisture imbalance","Short broken strands, rough texture, visible split hairs","Reduce heat styling, use a protein-moisture balanced deep conditioner, trim damaged ends. Porosity-specific tip: Use rich creams, butters, and oils to seal the cuticle; do a protein treatment periodically since high porosity hair loses moisture quickly.",Protein treatment + deep conditioning mask,Weekly,Moderate
839,3A,"Curly - Loose, springy curls",High Porosity,Oily Scalp,Split Ends,"Mechanical damage, lack of trimming, friction from towels/pillowcases","Frayed, forked hair tips that look dry and dull","Regular trims every 8-10 weeks and use leave-in conditioner or hair oil to seal ends. Porosity-specific tip: Use rich creams, butters, and oils to seal the cuticle; do a protein treatment periodically since high porosity hair loses moisture quickly.",Leave-in conditioner + regular trims,"Bi-weekly application, trims every 2 months",Mild
840,3A,"Curly - Loose, springy curls",High Porosity,Oily Scalp,Frizz,"Humidity, lack of moisture, raised hair cuticle, or over-washing","Flyaway strands, rough and unmanageable texture","Use anti-frizz serum, microfiber towel drying, and leave-in cream with humectants like glycerin. Porosity-specific tip: Use rich creams, butters, and oils to seal the cuticle; do a protein treatment periodically since high porosity hair loses moisture quickly.",Anti-frizz serum/cream,Daily as needed,Mild
841,3A,"Curly - Loose, springy curls",High Porosity,Oily Scalp,Hair Thinning,"Genetics, stress, nutritional deficiency, hormonal imbalance, or postpartum changes","Reduced hair density, visible scalp, thinner ponytail","Use minoxidil-based topical treatment, biotin/iron supplementation (consult a doctor), and gentle scalp massage. Porosity-specific tip: Use rich creams, butters, and oils to seal the cuticle; do a protein treatment periodically since high porosity hair loses moisture quickly.",Minoxidil topical + supplements,Daily application,Moderate-Severe
842,3A,"Curly - Loose, springy curls",High Porosity,Oily Scalp,Itchy/Irritated Scalp,"Allergic reaction to products, dry skin, dandruff, or scalp psoriasis/eczema","Persistent itching, redness, occasional burning sensation","Switch to fragrance-free, sulfate-free shampoo; use a soothing scalp serum with aloe vera or tea tree oil. Porosity-specific tip: Use rich creams, butters, and oils to seal the cuticle; do a protein treatment periodically since high porosity hair loses moisture quickly.",Soothing scalp serum,"Daily until resolved, then 2x/week",Mild-Moderate
843,3A,"Curly - Loose, springy curls",High Porosity,Oily Scalp,Product Buildup,"Accumulation of styling products, hard water minerals, or infrequent clarifying washes","Dull, weighed-down hair, reduced curl definition, waxy scalp feel","Use a clarifying or chelating shampoo once every 1-2 weeks to remove residue. Porosity-specific tip: Use rich creams, butters, and oils to seal the cuticle; do a protein treatment periodically since high porosity hair loses moisture quickly.",Clarifying/chelating shampoo,Every 1-2 weeks,Mild
844,3A,"Curly - Loose, springy curls",High Porosity,Dry Scalp,Dandruff,"Malassezia fungus overgrowth, dry skin, or sensitivity to hair products","White/yellow flakes on scalp and shoulders, mild itching","Use an anti-dandruff shampoo containing zinc pyrithione, ketoconazole, or selenium sulfide; avoid over-washing. Porosity-specific tip: Use rich creams, butters, and oils to seal the cuticle; do a protein treatment periodically since high porosity hair loses moisture quickly.",Medicated anti-dandruff shampoo,2-3 times per week,Mild-Moderate
845,3A,"Curly - Loose, springy curls",High Porosity,Dry Scalp,Dry Scalp,"Low sebum production, cold/dry weather, harsh shampoos, or dehydration","Tight, flaky, itchy scalp without excess oil","Apply a hydrating scalp oil (jojoba, argan) and switch to a sulfate-free moisturizing shampoo. Porosity-specific tip: Use rich creams, butters, and oils to seal the cuticle; do a protein treatment periodically since high porosity hair loses moisture quickly.",Scalp oil massage + hydrating shampoo,2 times per week,Mild
846,3A,"Curly - Loose, springy curls",High Porosity,Dry Scalp,Oily Scalp,"Overactive sebaceous glands, hormonal changes, or infrequent washing","Greasy roots, flat-looking hair, scalp odor","Use a clarifying shampoo with tea tree oil or salicylic acid; avoid heavy conditioners near the roots. Porosity-specific tip: Use rich creams, butters, and oils to seal the cuticle; do a protein treatment periodically since high porosity hair loses moisture quickly.",Clarifying shampoo,Every 2-3 days,Mild-Moderate
847,3A,"Curly - Loose, springy curls",High Porosity,Dry Scalp,Hair Breakage,"Excess heat styling, chemical treatments, over-brushing, or protein/moisture imbalance","Short broken strands, rough texture, visible split hairs","Reduce heat styling, use a protein-moisture balanced deep conditioner, trim damaged ends. Porosity-specific tip: Use rich creams, butters, and oils to seal the cuticle; do a protein treatment periodically since high porosity hair loses moisture quickly.",Protein treatment + deep conditioning mask,Weekly,Moderate
848,3A,"Curly - Loose, springy curls",High Porosity,Dry Scalp,Split Ends,"Mechanical damage, lack of trimming, friction from towels/pillowcases","Frayed, forked hair tips that look dry and dull","Regular trims every 8-10 weeks and use leave-in conditioner or hair oil to seal ends. Porosity-specific tip: Use rich creams, butters, and oils to seal the cuticle; do a protein treatment periodically since high porosity hair loses moisture quickly.",Leave-in conditioner + regular trims,"Bi-weekly application, trims every 2 months",Mild
849,3A,"Curly - Loose, springy curls",High Porosity,Dry Scalp,Frizz,"Humidity, lack of moisture, raised hair cuticle, or over-washing","Flyaway strands, rough and unmanageable texture","Use anti-frizz serum, microfiber towel drying, and leave-in cream with humectants like glycerin. Porosity-specific tip: Use rich creams, butters, and oils to seal the cuticle; do a protein treatment periodically since high porosity hair loses moisture quickly.",Anti-frizz serum/cream,Daily as needed,Mild
850,3A,"Curly - Loose, springy curls",High Porosity,Dry Scalp,Hair Thinning,"Genetics, stress, nutritional deficiency, hormonal imbalance, or postpartum changes","Reduced hair density, visible scalp, thinner ponytail","Use minoxidil-based topical treatment, biotin/iron supplementation (consult a doctor), and gentle scalp massage. Porosity-specific tip: Use rich creams, butters, and oils to seal the cuticle; do a protein treatment periodically since high porosity hair loses moisture quickly.",Minoxidil topical + supplements,Daily application,Moderate-Severe
851,3A,"Curly - Loose, springy curls",High Porosity,Dry Scalp,Itchy/Irritated Scalp,"Allergic reaction to products, dry skin, dandruff, or scalp psoriasis/eczema","Persistent itching, redness, occasional burning sensation","Switch to fragrance-free, sulfate-free shampoo; use a soothing scalp serum with aloe vera or tea tree oil. Porosity-specific tip: Use rich creams, butters, and oils to seal the cuticle; do a protein treatment periodically since high porosity hair loses moisture quickly.",Soothing scalp serum,"Daily until resolved, then 2x/week",Mild-Moderate
852,3A,"Curly - Loose, springy curls",High Porosity,Dry Scalp,Product Buildup,"Accumulation of styling products, hard water minerals, or infrequent clarifying washes","Dull, weighed-down hair, reduced curl definition, waxy scalp feel","Use a clarifying or chelating shampoo once every 1-2 weeks to remove residue. Porosity-specific tip: Use rich creams, butters, and oils to seal the cuticle; do a protein treatment periodically since high porosity hair loses moisture quickly.",Clarifying/chelating shampoo,Every 1-2 weeks,Mild
853,3A,"Curly - Loose, springy curls",High Porosity,Normal Scalp,Dandruff,"Malassezia fungus overgrowth, dry skin, or sensitivity to hair products","White/yellow flakes on scalp and shoulders, mild itching","Use an anti-dandruff shampoo containing zinc pyrithione, ketoconazole, or selenium sulfide; avoid over-washing. Porosity-specific tip: Use rich creams, butters, and oils to seal the cuticle; do a protein treatment periodically since high porosity hair loses moisture quickly.",Medicated anti-dandruff shampoo,2-3 times per week,Mild-Moderate
854,3A,"Curly - Loose, springy curls",High Porosity,Normal Scalp,Dry Scalp,"Low sebum production, cold/dry weather, harsh shampoos, or dehydration","Tight, flaky, itchy scalp without excess oil","Apply a hydrating scalp oil (jojoba, argan) and switch to a sulfate-free moisturizing shampoo. Porosity-specific tip: Use rich creams, butters, and oils to seal the cuticle; do a protein treatment periodically since high porosity hair loses moisture quickly.",Scalp oil massage + hydrating shampoo,2 times per week,Mild
855,3A,"Curly - Loose, springy curls",High Porosity,Normal Scalp,Oily Scalp,"Overactive sebaceous glands, hormonal changes, or infrequent washing","Greasy roots, flat-looking hair, scalp odor","Use a clarifying shampoo with tea tree oil or salicylic acid; avoid heavy conditioners near the roots. Porosity-specific tip: Use rich creams, butters, and oils to seal the cuticle; do a protein treatment periodically since high porosity hair loses moisture quickly.",Clarifying shampoo,Every 2-3 days,Mild-Moderate
856,3A,"Curly - Loose, springy curls",High Porosity,Normal Scalp,Hair Breakage,"Excess heat styling, chemical treatments, over-brushing, or protein/moisture imbalance","Short broken strands, rough texture, visible split hairs","Reduce heat styling, use a protein-moisture balanced deep conditioner, trim damaged ends. Porosity-specific tip: Use rich creams, butters, and oils to seal the cuticle; do a protein treatment periodically since high porosity hair loses moisture quickly.",Protein treatment + deep conditioning mask,Weekly,Moderate
857,3A,"Curly - Loose, springy curls",High Porosity,Normal Scalp,Split Ends,"Mechanical damage, lack of trimming, friction from towels/pillowcases","Frayed, forked hair tips that look dry and dull","Regular trims every 8-10 weeks and use leave-in conditioner or hair oil to seal ends. Porosity-specific tip: Use rich creams, butters, and oils to seal the cuticle; do a protein treatment periodically since high porosity hair loses moisture quickly.",Leave-in conditioner + regular trims,"Bi-weekly application, trims every 2 months",Mild
858,3A,"Curly - Loose, springy curls",High Porosity,Normal Scalp,Frizz,"Humidity, lack of moisture, raised hair cuticle, or over-washing","Flyaway strands, rough and unmanageable texture","Use anti-frizz serum, microfiber towel drying, and leave-in cream with humectants like glycerin. Porosity-specific tip: Use rich creams, butters, and oils to seal the cuticle; do a protein treatment periodically since high porosity hair loses moisture quickly.",Anti-frizz serum/cream,Daily as needed,Mild
859,3A,"Curly - Loose, springy curls",High Porosity,Normal Scalp,Hair Thinning,"Genetics, stress, nutritional deficiency, hormonal imbalance, or postpartum changes","Reduced hair density, visible scalp, thinner ponytail","Use minoxidil-based topical treatment, biotin/iron supplementation (consult a doctor), and gentle scalp massage. Porosity-specific tip: Use rich creams, butters, and oils to seal the cuticle; do a protein treatment periodically since high porosity hair loses moisture quickly.",Minoxidil topical + supplements,Daily application,Moderate-Severe
860,3A,"Curly - Loose, springy curls",High Porosity,Normal Scalp,Itchy/Irritated Scalp,"Allergic reaction to products, dry skin, dandruff, or scalp psoriasis/eczema","Persistent itching, redness, occasional burning sensation","Switch to fragrance-free, sulfate-free shampoo; use a soothing scalp serum with aloe vera or tea tree oil. Porosity-specific tip: Use rich creams, butters, and oils to seal the cuticle; do a protein treatment periodically since high porosity hair loses moisture quickly.",Soothing scalp serum,"Daily until resolved, then 2x/week",Mild-Moderate
861,3A,"Curly - Loose, springy curls",High Porosity,Normal Scalp,Product Buildup,"Accumulation of styling products, hard water minerals, or infrequent clarifying washes","Dull, weighed-down hair, reduced curl definition, waxy scalp feel","Use a clarifying or chelating shampoo once every 1-2 weeks to remove residue. Porosity-specific tip: Use rich creams, butters, and oils to seal the cuticle; do a protein treatment periodically since high porosity hair loses moisture quickly.",Clarifying/chelating shampoo,Every 1-2 weeks,Mild
862,3A,"Curly - Loose, springy curls",High Porosity,Combination Scalp,Dandruff,"Malassezia fungus overgrowth, dry skin, or sensitivity to hair products","White/yellow flakes on scalp and shoulders, mild itching","Use an anti-dandruff shampoo containing zinc pyrithione, ketoconazole, or selenium sulfide; avoid over-washing. Porosity-specific tip: Use rich creams, butters, and oils to seal the cuticle; do a protein treatment periodically since high porosity hair loses moisture quickly.",Medicated anti-dandruff shampoo,2-3 times per week,Mild-Moderate
863,3A,"Curly - Loose, springy curls",High Porosity,Combination Scalp,Dry Scalp,"Low sebum production, cold/dry weather, harsh shampoos, or dehydration","Tight, flaky, itchy scalp without excess oil","Apply a hydrating scalp oil (jojoba, argan) and switch to a sulfate-free moisturizing shampoo. Porosity-specific tip: Use rich creams, butters, and oils to seal the cuticle; do a protein treatment periodically since high porosity hair loses moisture quickly.",Scalp oil massage + hydrating shampoo,2 times per week,Mild
864,3A,"Curly - Loose, springy curls",High Porosity,Combination Scalp,Oily Scalp,"Overactive sebaceous glands, hormonal changes, or infrequent washing","Greasy roots, flat-looking hair, scalp odor","Use a clarifying shampoo with tea tree oil or salicylic acid; avoid heavy conditioners near the roots. Porosity-specific tip: Use rich creams, butters, and oils to seal the cuticle; do a protein treatment periodically since high porosity hair loses moisture quickly.",Clarifying shampoo,Every 2-3 days,Mild-Moderate
865,3A,"Curly - Loose, springy curls",High Porosity,Combination Scalp,Hair Breakage,"Excess heat styling, chemical treatments, over-brushing, or protein/moisture imbalance","Short broken strands, rough texture, visible split hairs","Reduce heat styling, use a protein-moisture balanced deep conditioner, trim damaged ends. Porosity-specific tip: Use rich creams, butters, and oils to seal the cuticle; do a protein treatment periodically since high porosity hair loses moisture quickly.",Protein treatment + deep conditioning mask,Weekly,Moderate
866,3A,"Curly - Loose, springy curls",High Porosity,Combination Scalp,Split Ends,"Mechanical damage, lack of trimming, friction from towels/pillowcases","Frayed, forked hair tips that look dry and dull","Regular trims every 8-10 weeks and use leave-in conditioner or hair oil to seal ends. Porosity-specific tip: Use rich creams, butters, and oils to seal the cuticle; do a protein treatment periodically since high porosity hair loses moisture quickly.",Leave-in conditioner + regular trims,"Bi-weekly application, trims every 2 months",Mild
867,3A,"Curly - Loose, springy curls",High Porosity,Combination Scalp,Frizz,"Humidity, lack of moisture, raised hair cuticle, or over-washing","Flyaway strands, rough and unmanageable texture","Use anti-frizz serum, microfiber towel drying, and leave-in cream with humectants like glycerin. Porosity-specific tip: Use rich creams, butters, and oils to seal the cuticle; do a protein treatment periodically since high porosity hair loses moisture quickly.",Anti-frizz serum/cream,Daily as needed,Mild
868,3A,"Curly - Loose, springy curls",High Porosity,Combination Scalp,Hair Thinning,"Genetics, stress, nutritional deficiency, hormonal imbalance, or postpartum changes","Reduced hair density, visible scalp, thinner ponytail","Use minoxidil-based topical treatment, biotin/iron supplementation (consult a doctor), and gentle scalp massage. Porosity-specific tip: Use rich creams, butters, and oils to seal the cuticle; do a protein treatment periodically since high porosity hair loses moisture quickly.",Minoxidil topical + supplements,Daily application,Moderate-Severe
869,3A,"Curly - Loose, springy curls",High Porosity,Combination Scalp,Itchy/Irritated Scalp,"Allergic reaction to products, dry skin, dandruff, or scalp psoriasis/eczema","Persistent itching, redness, occasional burning sensation","Switch to fragrance-free, sulfate-free shampoo; use a soothing scalp serum with aloe vera or tea tree oil. Porosity-specific tip: Use rich creams, butters, and oils to seal the cuticle; do a protein treatment periodically since high porosity hair loses moisture quickly.",Soothing scalp serum,"Daily until resolved, then 2x/week",Mild-Moderate
870,3A,"Curly - Loose, springy curls",High Porosity,Combination Scalp,Product Buildup,"Accumulation of styling products, hard water minerals, or infrequent clarifying washes","Dull, weighed-down hair, reduced curl definition, waxy scalp feel","Use a clarifying or chelating shampoo once every 1-2 weeks to remove residue. Porosity-specific tip: Use rich creams, butters, and oils to seal the cuticle; do a protein treatment periodically since high porosity hair loses moisture quickly.",Clarifying/chelating shampoo,Every 1-2 weeks,Mild
871,3A,"Curly - Loose, springy curls",High Porosity,Sensitive Scalp,Dandruff,"Malassezia fungus overgrowth, dry skin, or sensitivity to hair products","White/yellow flakes on scalp and shoulders, mild itching","Use an anti-dandruff shampoo containing zinc pyrithione, ketoconazole, or selenium sulfide; avoid over-washing. Porosity-specific tip: Use rich creams, butters, and oils to seal the cuticle; do a protein treatment periodically since high porosity hair loses moisture quickly.",Medicated anti-dandruff shampoo,2-3 times per week,Mild-Moderate
872,3A,"Curly - Loose, springy curls",High Porosity,Sensitive Scalp,Dry Scalp,"Low sebum production, cold/dry weather, harsh shampoos, or dehydration","Tight, flaky, itchy scalp without excess oil","Apply a hydrating scalp oil (jojoba, argan) and switch to a sulfate-free moisturizing shampoo. Porosity-specific tip: Use rich creams, butters, and oils to seal the cuticle; do a protein treatment periodically since high porosity hair loses moisture quickly.",Scalp oil massage + hydrating shampoo,2 times per week,Mild
873,3A,"Curly - Loose, springy curls",High Porosity,Sensitive Scalp,Oily Scalp,"Overactive sebaceous glands, hormonal changes, or infrequent washing","Greasy roots, flat-looking hair, scalp odor","Use a clarifying shampoo with tea tree oil or salicylic acid; avoid heavy conditioners near the roots. Porosity-specific tip: Use rich creams, butters, and oils to seal the cuticle; do a protein treatment periodically since high porosity hair loses moisture quickly.",Clarifying shampoo,Every 2-3 days,Mild-Moderate
874,3A,"Curly - Loose, springy curls",High Porosity,Sensitive Scalp,Hair Breakage,"Excess heat styling, chemical treatments, over-brushing, or protein/moisture imbalance","Short broken strands, rough texture, visible split hairs","Reduce heat styling, use a protein-moisture balanced deep conditioner, trim damaged ends. Porosity-specific tip: Use rich creams, butters, and oils to seal the cuticle; do a protein treatment periodically since high porosity hair loses moisture quickly.",Protein treatment + deep conditioning mask,Weekly,Moderate
